S.No.,Obligated Entity,Baseline_Output_tonnes,Baseline_GHG_intensity,Baseline_Total_GHG_allowed,GHG_intensity_2025_26,Total_GHG_allowed_2025_26,GHG_reduction_target_to_be_met_for_2025_26
1.,"Tamilnadu  Cements  Corporation Limited,       Ariyalur,       Village: Kairlabath, Ariyalur, Post Office: Ariyalur   Cement   Factory   Post,
Tamil Nadu- 621729",1527557,0.4797,732769.0929,0.4767,728186.4219,4582.6710
2.,"Ultratech           Cement           ltd (Reddipalayam                 Cement Works),P.O.  Reddipalyam  Dist.-
Ariyalur-621704 , Tamil Nadu",1485350,0.5507,817982.2450,0.5467,812040.8450,5941.4000
3.,"Dalmia        Cement        (Bharat) Ltd,Trichy,Dalmiapuram   Trichy Distt., Tamil Nadu-621651",3892366,0.5797,2256404.5702,0.5754,2239667.3964,16737.1738
4.,"Dalmia   Cement   Ariyalur,   P.O. Ottakovil, Ariyalur, Tamil Nadu-
621705",2863675,0.5946,1702741.1550,0.5901,1689854.6175,12886.5375
5.,"The India Cements Ltd., Sankari,
West, Salem , Tamil Nadu - 637 303",831193,0.5856,486746.6208,0.5806,482590.6558,4155.9650
6.,"The      India      Cements      Ltd., Dalavoi,Cement  nagar,  Sendurai (t.k.), ariyalur (d.t), Tamil Nadu- 621730",1688705,0.6326,1068274.7830,0.6271,1058986.9055,9287.8775
7.,"Chettinad   Cement   Corporation Ltd.,  Dindigul,  Rani  Meyammai Nagar,                            Karikkali
Post,Guziliamparai             (VIA), Dindigul   Distt   ,   Tamil   Nadu- 624703",3800515,0.6017,2286769.8755,0.5962,2265867.0430,20902.8325
8.,"The    Ramco    cements    limited, Govidapuram   works,   Ariyalur, Tamil Nadu-621713",4145715,0.7084,2936824.5060,0.7021,2910706.5015,26118.0045
9.,"The           Ramco           Cements Limited,        Ramasamy        Raja
Nagar,    Virudhunagar    District, Tamil Nadu, 626204",2540546,0.7152,1816998.4992,0.7087,1800484.9502,16513.5490
10.,"Chettinad   Cement   Corporation Private  Limited,  Puliyur-Works, Tamil Nadu-639114",419412,0.6267,262845.5004,0.6201,260077.3812,2768.1192
11.,"The    Ramco    Cement    Limited (Alathiyur           Work),Alathiyur Work,  Cement  Nagar,  Sendurai
Taluk,     Ariyalur,     Pondichery, Chennai  , Tamil Nadu- 621730",2916588,0.7061,2059402.7868,0.6995,2040153.3060,19249.4808
12.,"The    India    Cements    Limited, Sankarnagar, Tirunelveli District, Tamil Nadu -627357",964184,0.6328,610135.6352,0.6260,603579.1840,6556.4512
